ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,degree,type,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,role,referent,person,tense,voice,mood,frame,subjref,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,discontinuous,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction
3JN 1:6!5, ,noun,ἀγάπη,ἀγάπῃ,26,singular,feminine,dative,love,025003,25.43,N-DSF,ἀγάπῃ,n64001006005,127340,w,ἀγάπῃ,III_John,25,3John,1,6,11,wg,,,np,DetNP,,,,,,56,wg,,,np,ofNPNP,adv,,,,,55,wg,,,cl,S-V-ADV-ADV,,,,apposition,,54,wg,apposition,,np,NP-CL,,,,,,53,wg,apposition,,np,NP-CL,adv,,,,,52,,common,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,,,,,,,,,wg,,,cl,,,,,,,43,,wg,,,,,,,,,,42,sentence,,,,,,,,,5,,book,,,,,,,,,,,
3JN 1:6!6, ,prep,ἐνώπιον,ἐνώπιον,1799,,,,before,083006,83.33,PREP,ἐνώπιον,n64001006006,127341,w,ἐνώπιον,III_John,25,3John,1,6,10,wg,,,pp,PrepNp,adv,,,,,57,wg,,,cl,S-V-ADV-ADV,,,,apposition,,54,wg,apposition,,np,NP-CL,,,,,,53,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,,,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,,,,,,,wg,,,,,,,,,,42,,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!7,",",noun,ἐκκλησία,ἐκκλησίας,1577,singular,feminine,genitive,[the] church,011002,11.32,N-GSF,"ἐκκλησίας,",n64001006007,127342,w,ἐκκλησίας,III_John,25,3John,1,6,10,wg,,,pp,PrepNp,adv,,,,,57,wg,,,cl,S-V-ADV-ADV,,,,apposition,,54,wg,apposition,,np,NP-CL,,,,,,53,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,,common,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,,,,,,,wg,,,,,,,,,,42,,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!8, ,pron,ὅς,οὕς,3739,plural,masculine,accusative,whom,,,R-APM,οὓς,n64001006008,127343,w,οὓς,III_John,25,3John,1,6,8,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,relative,wg,,,,,,,,,,42,sentence,,,,,,,,,5,,adv,n64001005012,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!9, ,adv,καλῶς,καλῶς,2573,,,,well,088001,88.4,ADV,καλῶς,n64001006009,127344,w,καλῶς,III_John,25,3John,1,6,8,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,wg,,,,,,,,,,42,sentence,,,,,,,,,5,,adv,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!10, ,verb,ποιέω,ποιήσεις,4160,singular,,,you will do,,,V-FAI-2S,ποιήσεις,n64001006010,127345,w,ποιήσεις,III_John,25,3John,1,6,8,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,wg,,,,,,,,,,42,sentence,,,,,,,,,5,,v,,second,future,active,indicative,A0:n64001005001,n64001005001,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!11, ,verb,προπέμπω,προπέμψας,4311,singular,masculine,nominative,having set forward,015004,15.72,V-AAP-NSM,προπέμψας,n64001006011,127346,w,προπέμψας,III_John,25,3John,1,6,9,wg,,,cl,V-ADV-ADV,adv,,,,,59,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,,,wg,,,cl,,,,,,,43,wg,,,,,,,,,,42,v,,,aorist,active,participle,A0:n64001005001,n64001005001,sentence,,,,,,,,,5,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!12, ,adv,ἀξίως,ἀξίως,516,,,,worthily,066,66.6,ADV,ἀξίως,n64001006012,127347,w,ἀξίως,III_John,25,3John,1,6,9,wg,,,cl,V-ADV-ADV,adv,,,,,59,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,wg,group,,,,,,,,,50,,,wg,,,cl,,,,,,,43,wg,,,,,,,,,,42,adv,,,,,,,,sentence,,,,,,,,,5,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!13, ,det,ὁ,τοῦ,3588,singular,masculine,genitive,-,092004,92.24,T-GSM,τοῦ,n64001006013,127348,w,τοῦ,III_John,25,3John,1,6,10,wg,,,np,DetNP,adv,,,,,60,wg,,,cl,V-ADV-ADV,adv,,,,,59,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,,,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,,,,,,,wg,,,,,,,,,,42,,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,
3JN 1:6!14,·,noun,θεός,Θεοῦ,2316,singular,masculine,genitive,of God,012001,12.1,N-GSM,Θεοῦ·,n64001006014,127349,w,Θεοῦ,III_John,25,3John,1,6,10,wg,,,np,DetNP,adv,,,,,60,wg,,,cl,V-ADV-ADV,adv,,,,,59,wg,,,cl,ADV-ADV-V-ADV,,,,apposition,,58,wg,apposition,,np,NP-CL,adv,,,,,52,wg,,,cl,O-ADV,,VerbElided,,,,51,,common,wg,group,,,,,,,,,50,wg,,,cl,,,,,,,43,,,,,,,,,wg,,,,,,,,,,42,,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,
