ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,degree,type,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,role,referent,person,tense,voice,mood,frame,subjref,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,discontinuous,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction
3JN 1:8!2, ,conj,οὖν,οὖν,3767,,,,therefore,089008,89.50,CONJ,οὖν,n64001008002,127360,w,οὖν,III_John,25,3John,1,8,4,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!1, ,pron,ἐγώ,ἡμεῖς,1473,plural,,nominative,We,092002,92.4,P-1NP,ἡμεῖς,n64001008001,127361,w,ἡμεῖς,III_John,25,3John,1,8,5,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,book,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,s,n64001001002 n64001005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!3, ,verb,ὀφείλω,ὀφείλομεν,3784,plural,,,ought,071004,71.25,V-PAI-1P,ὀφείλομεν,n64001008003,127362,w,ὀφείλομεν,III_John,25,3John,1,8,5,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,first,present,active,indicative,A0:n64001008001 A1:n64001008004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!4, ,verb,ὑπολαμβάνω,ὑπολαμβάνειν,5274,,,,to receive,035001,35.1,V-PAN,ὑπολαμβάνειν,n64001008004,127363,w,ὑπολαμβάνειν,III_John,25,3John,1,8,6,wg,,,cl,V-O,o,,,,,72,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,,present,active,infinitive,A0:n64001001002;n64001005001 A1:n64001008006,n64001001002 n64001005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!5, ,det,ὁ,τούς,3588,plural,masculine,accusative,-,092004,92.24,T-APM,τοὺς,n64001008005,127364,w,τοὺς,III_John,25,3John,1,8,7,wg,,,np,DetNP,o,,,,,73,wg,,,cl,V-O,o,,,,,72,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,,,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!6,",",pron,τοιοῦτος,τοιούτους,5108,plural,masculine,accusative,such [men],064,64.2,D-APM,"τοιούτους,",n64001008006,127365,w,τοιούτους,III_John,25,3John,1,8,7,wg,,,np,DetNP,o,,,,,73,wg,,,cl,V-O,o,,,,,72,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,,demonstrative,sentence,,,,,,,,,7,,book,,,,,,,,,,,,n64001005012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!7, ,conj,ἵνα,ἵνα,2443,,,,so that,089008 089009,89.49 89.59,CONJ,ἵνα,n64001008007,127366,w,ἵνα,III_John,25,3John,1,8,6,wg,,,,sub-CL,adv,,,,,74,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!8, ,adj,συνεργός,συνεργοί,4904,plural,masculine,nominative,fellow workers,042004,42.44,A-NPM,συνεργοὶ,n64001008008,127367,w,συνεργοὶ,III_John,25,3John,1,8,7,wg,,,cl,P-VC-ADV,,,,,,75,wg,,,,sub-CL,adv,,,,,74,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,,,sentence,,,,,,,,,7,,book,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!9, ,verb,γίνομαι,γινώμεθα,1096,plural,,,we may be,013001,13.3,V-PNS-1P,γινώμεθα,n64001008009,127368,w,γινώμεθα,III_John,25,3John,1,8,7,wg,,,cl,P-VC-ADV,,,,,,75,wg,,,,sub-CL,adv,,,,,74,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,wg,,,,,,,,,,69,,,sentence,,,,,,,,,7,,book,,,,,,,,,,,vc,,first,present,middlepassive,subjunctive,,n64001001002 n64001005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!10, ,det,ὁ,τῇ,3588,singular,feminine,dative,in the,092004,92.24,T-DSF,τῇ,n64001008010,127369,w,τῇ,III_John,25,3John,1,8,8,wg,,,np,DetNP,adv,,,,,76,wg,,,cl,P-VC-ADV,,,,,,75,wg,,,,sub-CL,adv,,,,,74,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,,,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:8!11,.,noun,ἀλήθεια,ἀληθείᾳ,225,singular,feminine,dative,truth,072001,72.2,N-DSF,ἀληθείᾳ.,n64001008011,127370,w,ἀληθείᾳ,III_John,25,3John,1,8,8,wg,,,np,DetNP,adv,,,,,76,wg,,,cl,P-VC-ADV,,,,,,75,wg,,,,sub-CL,adv,,,,,74,wg,,,cl,,,,,,,71,wg,,,,Conj-CL,,,,,,70,,common,wg,,,,,,,,,,69,sentence,,,,,,,,,7,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!1, ,verb,γράφω,Ἔγραψα,1125,singular,,,I have written,033005,33.61,V-AAI-1S,Ἔγραψά,n64001009001,127371,w,Ἔγραψά,III_John,25,3John,1,9,4,wg,,,cl,V-O-IO,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,first,aorist,active,indicative,A0:n64001001002 A1:n64001009002 A2:n64001009004,n64001001002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!2, ,pron,τὶς,τι,5100,singular,neuter,accusative,something,,,X-ASN,τι,n64001009002,127372,w,τι,III_John,25,3John,1,9,4,wg,,,cl,V-O-IO,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,indefinite,,,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!3, ,det,ὁ,τῇ,3588,singular,feminine,dative,to the,092004,92.24,T-DSF,τῇ,n64001009003,127373,w,τῇ,III_John,25,3John,1,9,5,wg,,,np,DetNP,io,,,,,79,wg,,,cl,V-O-IO,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!4,·,noun,ἐκκλησία,ἐκκλησίᾳ,1577,singular,feminine,dative,church,011002,11.32,N-DSF,ἐκκλησίᾳ·,n64001009004,127374,w,ἐκκλησίᾳ,III_John,25,3John,1,9,5,wg,,,np,DetNP,io,,,,,79,wg,,,cl,V-O-IO,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,8,,book,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!5, ,conj,ἀλλά,ἀλλ’,235,,,,but,089023,89.125,CONJ,ἀλλ’,n64001009005,127375,w,ἀλλ’,III_John,25,3John,1,9,4,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!6, ,det,ὁ,ὁ,3588,singular,masculine,nominative,the [one],092004,92.24,T-NSM,ὁ,n64001009006,127376,w,ὁ,III_John,25,3John,1,9,7,wg,,,,DetCL,,,,,,84,wg,apposition,,np,Np-Appos,s,,,,,83,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,,,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!7, ,verb,φιλοπρωτεύω,φιλοπρωτεύων,5383,singular,masculine,nominative,loving to be first,025010,25.110,V-PAP-NSM,φιλοπρωτεύων,n64001009007,127377,w,φιλοπρωτεύων,III_John,25,3John,1,9,8,wg,,,cl,V-ADV,,,,,,85,wg,,,,DetCL,,,,,,84,wg,apposition,,np,Np-Appos,s,,,,,83,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,,,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,v,,,present,active,participle,A0:n64001009009,n64001009009,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!8, ,pron,αὐτός,αὐτῶν,846,plural,feminine,genitive,among them,,,P-GPF,αὐτῶν,n64001009008,127378,w,αὐτῶν,III_John,25,3John,1,9,8,wg,,,cl,V-ADV,,,,,,85,wg,,,,DetCL,,,,,,84,wg,apposition,,np,Np-Appos,s,,,,,83,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,,personal,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,adv,n64001009004,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!9, ,noun,Διοτρέφης,Διοτρεφής,1361,singular,masculine,nominative,Diotrephes,093001,93.99,N-NSM,Διοτρεφὴς,n64001009009,127379,w,Διοτρεφὴς,III_John,25,3John,1,9,6,wg,apposition,,np,Np-Appos,s,,,,,83,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,,proper,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apposition
3JN 1:9!10, ,adv,οὐ,οὐκ,3756,,,,not,,,PRT-N,οὐκ,n64001009010,127380,w,οὐκ,III_John,25,3John,1,9,5,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!11, ,verb,ἐπιδέχομαι,ἐπιδέχεται,1926,singular,,,welcomes,036003,36.14,V-PNI-3S,ἐπιδέχεται,n64001009011,127381,w,ἐπιδέχεται,III_John,25,3John,1,9,5,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,third,present,middlepassive,indicative,A0:n64001009007 A1:n64001009012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:9!12,.,pron,ἐγώ,ἡμᾶς,1473,plural,,accusative,us,092002,92.4,P-1AP,ἡμᾶς.,n64001009012,127382,w,ἡμᾶς,III_John,25,3John,1,9,5,wg,,,cl,S-ADV-V-O,,,,,,82,wg,,,,Conj-CL,,,,,,81,wg,,,,,,,,,,80,sentence,,,,,,,,,9,,book,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,o,n64001001002 n64001005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!1, ,prep,διά,διά,1223,,,,Because of,089007,89.26,PREP,διὰ,n64001010001,127383,w,διὰ,III_John,25,3John,1,10,5,wg,,,pp,PrepNp,adv,,,,,88,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!2,",",pron,οὗτος,τοῦτο,3778,singular,neuter,accusative,this,,,D-ASN,"τοῦτο,",n64001010002,127384,w,τοῦτο,III_John,25,3John,1,10,5,wg,,,pp,PrepNp,adv,,,,,88,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,book,,,,,,,,,,,,demonstrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!3, ,conj,ἐάν,ἐάν,1437,,,,if,067002 089010,67.32 89.67,COND,ἐὰν,n64001010003,127385,w,ἐὰν,III_John,25,3John,1,10,5,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!4,",",verb,ἔρχομαι,ἔλθω,2064,singular,,,I might come,015006,15.81,V-2AAS-1S,"ἔλθω,",n64001010004,127386,w,ἔλθω,III_John,25,3John,1,10,6,wg,,,cl,V2CL,,,,,,90,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,first,aorist,active,subjunctive,A0:n64001001002,n64001001002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!5, ,verb,ὑπομιμνῄσκω,ὑπομνήσω,5279,singular,,,I will bring to remembrance,029002,29.10,V-FAI-1S,ὑπομνήσω,n64001010005,127387,w,ὑπομνήσω,III_John,25,3John,1,10,4,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,first,future,active,indicative,A0:n64001001002 A1:n64001010008,n64001001002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!6, ,pron,αὐτός,αὐτοῦ,846,singular,masculine,genitive,of him,,,P-GSM,αὐτοῦ,n64001010006,127388,w,αὐτοῦ,III_John,25,3John,1,10,6,wg,,,np,ofNPNP,,,,,,92,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,personal,book,,,,,,,,,,,,,,,,,,,,,,,n64001009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!7, ,det,ὁ,τά,3588,plural,neuter,accusative,the,092004,92.24,T-APN,τὰ,n64001010007,127389,w,τὰ,III_John,25,3John,1,10,7,wg,,,np,DetNP,,,,,,93,wg,,,np,ofNPNP,,,,,,92,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,,,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!8, ,noun,ἔργον,ἔργα,2041,plural,neuter,accusative,works,042002,42.11,N-APN,ἔργα,n64001010008,127390,w,ἔργα,III_John,25,3John,1,10,7,wg,,,np,DetNP,,,,,,93,wg,,,np,ofNPNP,,,,,,92,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,,common,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!9, ,pron,ὅς,ἅ,3739,plural,neuter,accusative,which,,,R-APN,ἃ,n64001010009,127391,w,ἃ,III_John,25,3John,1,10,6,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,relative,book,,,,,,,,,,,,,,,,,,,,,,o,n64001010008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!10, ,verb,ποιέω,ποιεῖ,4160,singular,,,he is doing,,,V-PAI-3S,ποιεῖ,n64001010010,127392,w,ποιεῖ,III_John,25,3John,1,10,6,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,third,present,active,indicative,A0:n64001009007 A1:n64001010009,n64001009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!11, ,noun,λόγος,λόγοις,3056,plural,masculine,dative,with words,033006,33.98,N-DPM,λόγοις,n64001010011,127393,w,λόγοις,III_John,25,3John,1,10,8,wg,,,np,NpAdjp,adv,,,,,96,wg,,,cl,ADV-V-O,adv,,,,,95,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,,common,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!12, ,adj,πονηρός,πονηροῖς,4190,plural,masculine,dative,evil,088015,88.110,A-DPM,πονηροῖς,n64001010012,127394,w,πονηροῖς,III_John,25,3John,1,10,8,wg,,,np,NpAdjp,adv,,,,,96,wg,,,cl,ADV-V-O,adv,,,,,95,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,,,wg,,,,,,,,,,86,sentence,,,,,,,,,10,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!13, ,verb,φλυαρέω,φλυαρῶν,5396,singular,masculine,nominative,prating against,033040,33.374,V-PAP-NSM,φλυαρῶν,n64001010013,127395,w,φλυαρῶν,III_John,25,3John,1,10,7,wg,,,cl,ADV-V-O,adv,,,,,95,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,,,sentence,,,,,,,,,10,,book,,,,,,,,,,,v,,,present,active,participle,A0:n64001009007 A1:n64001010014,n64001009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!14,",",pron,ἐγώ,ἡμᾶς,1473,plural,,accusative,us,092002,92.4,P-1AP,"ἡμᾶς,",n64001010014,127396,w,ἡμᾶς,III_John,25,3John,1,10,7,wg,,,cl,ADV-V-O,adv,,,,,95,wg,,,cl,O-V-ADV,,,,apposition,,94,wg,apposition,,np,NP-CL,o,,,,,91,wg,,,cl,ADV-ADV-V-O,,,,,,87,wg,,,,,,,,,,86,,personal,sentence,,,,,,,,,10,,book,,,,,,,,,,,o,n64001001002 n64001005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!15, ,conj,καί,καί,2532,,,,and,,,CONJ,καὶ,n64001010015,127397,w,καὶ,III_John,25,3John,1,10,4,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,sentence,,,,,,,,,11,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!16, ,adv,μή,μή,3361,,,,not,,,PRT-N,μὴ,n64001010016,127398,w,μὴ,III_John,25,3John,1,10,6,wg,,,cl,ADV-V-ADV,topic,,,,,100,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,sentence,,,,,,,,,11,,,,book,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!17, ,verb,ἀρκέω,ἀρκούμενος,714,singular,masculine,nominative,being satisfied,025007,25.81,V-PPP-NSM,ἀρκούμενος,n64001010017,127399,w,ἀρκούμενος,III_John,25,3John,1,10,6,wg,,,cl,ADV-V-ADV,topic,,,,,100,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,sentence,,,,,,,,,11,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,,present,passive,participle,A1:n64001009007,n64001009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!18, ,prep,ἐπί,ἐπί,1909,,,,with,,,PREP,ἐπὶ,n64001010018,127400,w,ἐπὶ,III_John,25,3John,1,10,7,wg,,,pp,PrepNp,adv,,,,,101,wg,,,cl,ADV-V-ADV,topic,,,,,100,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,,,sentence,,,,,,,,,11,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!19, ,pron,οὗτος,τούτοις,3778,plural,masculine,dative,these,,,D-DPM,τούτοις,n64001010019,127401,w,τούτοις,III_John,25,3John,1,10,7,wg,,,pp,PrepNp,adv,,,,,101,wg,,,cl,ADV-V-ADV,topic,,,,,100,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,,demonstrative,sentence,,,,,,,,,11,,book,,,,,,,,,,,,n64001010008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!20, ,conj,οὔτε,οὔτε,3777,,,,neither,069003,69.9,CONJ-N,οὔτε,n64001010020,127402,w,οὔτε,III_John,25,3John,1,10,6,wg,group,,,,,,,,,102,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,sentence,,,,,,,,,11,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!21, ,pron,αὐτός,αὐτός,846,singular,masculine,nominative,himself,,,P-NSM,αὐτὸς,n64001010021,127403,w,αὐτὸς,III_John,25,3John,1,10,7,wg,,,cl,S-V-O,,,,,,103,wg,group,,,,,,,,,102,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,,personal,sentence,,,,,,,,,11,,book,,,,,,,,,,,s,n64001009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!22, ,verb,ἐπιδέχομαι,ἐπιδέχεται,1926,singular,,,he receives,034007,34.53,V-PNI-3S,ἐπιδέχεται,n64001010022,127404,w,ἐπιδέχεται,III_John,25,3John,1,10,7,wg,,,cl,S-V-O,,,,,,103,wg,group,,,,,,,,,102,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,wg,,,,,,,,,,97,,,sentence,,,,,,,,,11,,book,,,,,,,,,,,v,,third,present,middlepassive,indicative,A0:n64001010021 A1:n64001010024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:10!23, ,det,ὁ,τούς,3588,plural,masculine,accusative,the,092004,92.24,T-APM,τοὺς,n64001010023,127405,w,τοὺς,III_John,25,3John,1,10,8,wg,,,np,DetNP,o,,,,,104,wg,,,cl,S-V-O,,,,,,103,wg,group,,,,,,,,,102,wg,,,cl,,,,,,,99,wg,,,,Conj-CL,,,,,,98,,,wg,,,,,,,,,,97,sentence,,,,,,,,,11,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
