ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,degree,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,type,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,referent,role,person,tense,voice,mood,frame,discontinuous,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,subjref,junction
2JN 1:5!14, ,verb,ἔχω,εἴχαμεν,2192,plural,,,we have had,090013,90.65,V-IAI-1P,εἴχαμεν,n63001005014,127116,w,εἴχαμεν,II_John,24,2John,1,5,8,wg,,,cl,O-V-ADV,,,,,,73,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,imperfect,active,indicative,A0:n63001001002;n63001005005;n63001001007;n63001001022 A1:n63001005013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002 n63001005005 n63001001007 n63001001022,
2JN 1:5!15, ,prep,ἀπό,ἀπ’,575,,,,from,067006,67.131,PREP,ἀπ’,n63001005015,127117,w,ἀπ’,II_John,24,2John,1,5,9,wg,,,pp,PrepNp,adv,,,,,74,wg,,,cl,O-V-ADV,,,,,,73,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!16,",",noun,ἀρχή,ἀρχῆς,746,singular,feminine,genitive,[the] beginning,067003,67.65,N-GSF,"ἀρχῆς,",n63001005016,127118,w,ἀρχῆς,II_John,24,2John,1,5,9,wg,,,pp,PrepNp,adv,,,,,74,wg,,,cl,O-V-ADV,,,,,,73,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,common,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!17, ,conj,ἵνα,ἵνα,2443,,,,that,090006,90.22,CONJ,ἵνα,n63001005017,127119,w,ἵνα,II_John,24,2John,1,5,6,wg,,,,sub-CL,adv,,,,,75,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!18, ,verb,ἀγαπάω,ἀγαπῶμεν,25,plural,,,we should love,025003,25.43,V-PAS-1P,ἀγαπῶμεν,n63001005018,127120,w,ἀγαπῶμεν,II_John,24,2John,1,5,7,wg,,,cl,V-O,,,,,,76,wg,,,,sub-CL,adv,,,,,75,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,present,active,subjunctive,A0:n63001001002;n63001005005;n63001001007;n63001001022 A1:n63001005019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002 n63001005005 n63001001007 n63001001022,
2JN 1:5!19,.,pron,ἀλλήλων,ἀλλήλους,240,plural,masculine,accusative,one another,092005,92.26,C-APM,ἀλλήλους.,n63001005019,127121,w,ἀλλήλους,II_John,24,2John,1,5,7,wg,,,cl,V-O,,,,,,76,wg,,,,sub-CL,adv,,,,,75,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,,book,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,n63001001002 n63001005005 n63001001007 n63001001022,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!1, ,conj,καί,καί,2532,,,,And,089015,89.87,CONJ,καὶ,n63001006001,127122,w,καὶ,II_John,24,2John,1,6,4,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!2, ,pron,οὗτος,αὕτη,3778,singular,feminine,nominative,this,,,D-NSF,αὕτη,n63001006002,127123,w,αὕτη,II_John,24,2John,1,6,5,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demonstrative,,,,,,,,,,,,,,,,,,,,,,,n63001006007,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!3, ,verb,εἰμί,ἐστίν,1510,singular,,,is,,,V-PAI-3S,ἐστὶν,n63001006003,127124,w,ἐστὶν,II_John,24,2John,1,6,5,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vc,third,present,active,indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!4, ,det,ὁ,ἡ,3588,singular,feminine,nominative,-,092004,92.24,T-NSF,ἡ,n63001006004,127125,w,ἡ,II_John,24,2John,1,6,6,wg,,,np,DetNP,s,,,,,80,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!5,",",noun,ἀγάπη,ἀγάπη,26,singular,feminine,nominative,love,025003,25.43,N-NSF,"ἀγάπη,",n63001006005,127126,w,ἀγάπη,II_John,24,2John,1,6,6,wg,,,np,DetNP,s,,,,,80,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!6, ,adv,ἵνα,ἵνα,2443,,,,that,090006,90.22,CONJ,ἵνα,n63001006006,127127,w,ἵνα,II_John,24,2John,1,6,6,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!7, ,verb,περιπατέω,περιπατῶμεν,4043,plural,,,we should walk,041001,41.11,V-PAS-1P,περιπατῶμεν,n63001006007,127128,w,περιπατῶμεν,II_John,24,2John,1,6,7,wg,,,cl,V-ADV,,,,,,82,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,present,active,subjunctive,A0:n63001001002;n63001005005;n63001001007;n63001001022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002 n63001005005 n63001001007 n63001001022,
2JN 1:6!8, ,prep,κατά,κατά,2596,,,,according to,089005,89.8,PREP,κατὰ,n63001006008,127129,w,κατὰ,II_John,24,2John,1,6,8,wg,,,pp,PrepNp,adv,,,,,83,wg,,,cl,V-ADV,,,,,,82,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!9, ,det,ὁ,τάς,3588,plural,feminine,accusative,the,092004,92.24,T-APF,τὰς,n63001006009,127130,w,τὰς,II_John,24,2John,1,6,9,wg,,,np,DetNP,,,,,,84,wg,,,pp,PrepNp,adv,,,,,83,wg,,,cl,V-ADV,,,,,,82,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,wg,,,,Conj-CL,,,,,,78,,wg,,,,,,,,,,77,sentence,,,,,,,,,5,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!10, ,noun,ἐντολή,ἐντολάς,1785,plural,feminine,accusative,commandments,033032,33.330,N-APF,ἐντολὰς,n63001006010,127131,w,ἐντολὰς,II_John,24,2John,1,6,10,wg,,,np,NPofNP,,,,,,85,wg,,,np,DetNP,,,,,,84,wg,,,pp,PrepNp,adv,,,,,83,wg,,,cl,V-ADV,,,,,,82,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,common,sentence,,,,,,,,,5,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!11,·,pron,αὐτός,αὐτοῦ,846,singular,masculine,genitive,of Him,,,P-GSM,αὐτοῦ·,n63001006011,127132,w,αὐτοῦ,II_John,24,2John,1,6,10,wg,,,np,NPofNP,,,,,,85,wg,,,np,DetNP,,,,,,84,wg,,,pp,PrepNp,adv,,,,,83,wg,,,cl,V-ADV,,,,,,82,wg,,,,that-VP,o,,,,,81,wg,,,cl,,,,,,,79,,wg,,,,Conj-CL,,,,,,78,wg,,,,,,,,,,77,personal,sentence,,,,,,,,,5,,book,,,,,,,,,,,n63001004017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!12, ,pron,οὗτος,αὕτη,3778,singular,feminine,nominative,This,,,D-NSF,αὕτη,n63001006012,127133,w,αὕτη,II_John,24,2John,1,6,4,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demonstrative,,,,,,,,,,,,,,,,,,,,,,,n63001006023,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!13, ,det,ὁ,ἡ,3588,singular,feminine,nominative,the,092004,92.24,T-NSF,ἡ,n63001006013,127134,w,ἡ,II_John,24,2John,1,6,5,wg,,,np,DetNP,s,,,,,88,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!14, ,noun,ἐντολή,ἐντολή,1785,singular,feminine,nominative,commandment,033032,33.330,N-NSF,ἐντολή,n63001006014,127135,w,ἐντολή,II_John,24,2John,1,6,5,wg,,,np,DetNP,s,,,,,88,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!15,",",verb,εἰμί,ἐστιν,1510,singular,,,is,,,V-PAI-3S,"ἐστιν,",n63001006015,127136,w,ἐστιν,II_John,24,2John,1,6,4,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vc,third,present,active,indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!16, ,conj,καθώς,καθώς,2531,,,,just as,064,64.14,ADV,καθὼς,n63001006016,127137,w,καθὼς,II_John,24,2John,1,6,5,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!17, ,verb,ἀκούω,ἠκούσατε,191,plural,,,you have heard,024002,24.52,V-AAI-2P,ἠκούσατε,n63001006017,127138,w,ἠκούσατε,II_John,24,2John,1,6,6,wg,,,cl,V-ADV,,,,,,90,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,second,aorist,active,indicative,A0:n63001005005;n63001001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,
2JN 1:6!18, ,prep,ἀπό,ἀπ’,575,,,,from,,,PREP,ἀπ’,n63001006018,127139,w,ἀπ’,II_John,24,2John,1,6,7,wg,,,pp,PrepNp,adv,,,,,91,wg,,,cl,V-ADV,,,,,,90,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!19,",",noun,ἀρχή,ἀρχῆς,746,singular,feminine,genitive,[the] beginning,067003,67.65,N-GSF,"ἀρχῆς,",n63001006019,127140,w,ἀρχῆς,II_John,24,2John,1,6,7,wg,,,pp,PrepNp,adv,,,,,91,wg,,,cl,V-ADV,,,,,,90,wg,,,,sub-CL,adv,,,,,89,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,,book,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!20, ,adv,ἵνα,ἵνα,2443,,,,so that,090006,90.22,CONJ,ἵνα,n63001006020,127141,w,ἵνα,II_John,24,2John,1,6,5,wg,,,,that-VP,o,,,,,92,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!21, ,prep,ἐν,ἐν,1722,,,,in,089012,89.76,PREP,ἐν,n63001006021,127142,w,ἐν,II_John,24,2John,1,6,7,wg,,,pp,PrepNp,adv,,,,,94,wg,,,cl,ADV-V,,,,,,93,wg,,,,that-VP,o,,,,,92,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!22, ,pron,αὐτός,αὐτῇ,846,singular,feminine,dative,it,,,P-DSF,αὐτῇ,n63001006022,127143,w,αὐτῇ,II_John,24,2John,1,6,7,wg,,,pp,PrepNp,adv,,,,,94,wg,,,cl,ADV-V,,,,,,93,wg,,,,that-VP,o,,,,,92,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,,book,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,n63001006005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:6!23,.,verb,περιπατέω,περιπατῆτε,4043,plural,,,you should walk,041001,41.11,V-PAS-2P,περιπατῆτε.,n63001006023,127144,w,περιπατῆτε,II_John,24,2John,1,6,6,wg,,,cl,ADV-V,,,,,,93,wg,,,,that-VP,o,,,,,92,wg,,,cl,,,,,,,87,wg,,,,,,,,,,86,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,second,present,active,subjunctive,A0:n63001005005;n63001001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,
2JN 1:7!1, ,conj,ὅτι,ὅτι,3754,,,,For,089007,89.33,CONJ,ὅτι,n63001007001,127145,w,ὅτι,II_John,24,2John,1,7,4,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!4, ,verb,ἐξέρχομαι,ἐξῆλθον,1831,plural,,,have entered,015004,15.40,V-2AAI-3P,ἐξῆλθον,n63001007004,127146,w,ἐξῆλθον,II_John,24,2John,1,7,5,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,third,aorist,active,indicative,A0:n63001007003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!5, ,prep,εἰς,εἰς,1519,,,,into,084002,84.22,PREP,εἰς,n63001007005,127147,w,εἰς,II_John,24,2John,1,7,6,wg,,,pp,PrepNp,adv,,,,,98,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!6, ,det,ὁ,τόν,3588,singular,masculine,accusative,the,092004,92.24,T-ASM,τὸν,n63001007006,127148,w,τὸν,II_John,24,2John,1,7,7,wg,,,np,DetNP,,,,,,99,wg,,,pp,PrepNp,adv,,,,,98,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!7,",",noun,κόσμος,κόσμον,2889,singular,masculine,accusative,world,041003,41.38,N-ASM,"κόσμον,",n63001007007,127149,w,κόσμον,II_John,24,2John,1,7,7,wg,,,np,DetNP,,,,,,99,wg,,,pp,PrepNp,adv,,,,,98,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!2, ,adj,πολύς,πολλοί,4183,plural,masculine,nominative,many,059001,59.1,A-NPM,πολλοὶ,n63001007002,127150,w,πολλοὶ,II_John,24,2John,1,7,7,wg,,,np,AdjpNp,,,,,,101,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!3, ,adj,πλάνος,πλάνοι,4108,plural,masculine,nominative,deceivers,031002,31.9,A-NPM,πλάνοι,n63001007003,127151,w,πλάνοι,II_John,24,2John,1,7,7,wg,,,np,AdjpNp,,,,,,101,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!8, ,det,ὁ,οἱ,3588,plural,masculine,nominative,those,092004,92.24,T-NPM,οἱ,n63001007008,127152,w,οἱ,II_John,24,2John,1,7,7,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!9, ,adv,μή,μή,3361,,,,not,,,PRT-N,μὴ,n63001007009,127153,w,μὴ,II_John,24,2John,1,7,8,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!10, ,verb,ὁμολογέω,ὁμολογοῦντες,3670,plural,masculine,nominative,confessing,033021,33.274,V-PAP-NPM,ὁμολογοῦντες,n63001007010,127154,w,ὁμολογοῦντες,II_John,24,2John,1,7,8,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,present,active,participle,A0:n63001007003 A1:n63001007013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001007003,
