ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,degree,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,type,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,referent,role,person,tense,voice,mood,frame,discontinuous,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,subjref,junction
2JN 1:5!3, ,verb,ἐρωτάω,ἐρωτῶ,2065,singular,,,I implore,033012,33.161,V-PAI-1S,ἐρωτῶ,n63001005003,127106,w,ἐρωτῶ,II_John,24,2John,1,5,5,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,present,active,indicative,A0:n63001001002 A1:n63001005004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002,
2JN 1:5!4,",",pron,σύ,σε,4771,singular,,accusative,you,,,P-2AS,"σε,",n63001005004,127107,w,σε,II_John,24,2John,1,5,5,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,n63001005005,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!9, ,verb,γράφω,γράφων,1125,singular,masculine,nominative,I am writing,033005,33.61,V-PAP-NSM,γράφων,n63001005009,127108,w,γράφων,II_John,24,2John,1,5,6,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,present,active,participle,A0:n63001001002 A2:n63001005010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002,
2JN 1:5!10, ,pron,σύ,σοι,4771,singular,,dative,to you,,,P-2DS,σοι,n63001005010,127109,w,σοι,II_John,24,2John,1,5,6,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,n63001005005,io,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!6, ,adv,οὐ,οὐχ,3756,,,,not,,,PRT-N,οὐχ,n63001005006,127110,w,οὐχ,II_John,24,2John,1,5,7,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!7, ,conj,ὡς,ὡς,5613,,,,as,064,64.12,ADV,ὡς,n63001005007,127111,w,ὡς,II_John,24,2John,1,5,8,wg,,,,sub-CL,,,,,,70,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!8, ,noun,ἐντολή,ἐντολήν,1785,singular,feminine,accusative,a commandment,033032,33.330,N-ASF,ἐντολὴν,n63001005008,127112,w,ἐντολὴν,II_John,24,2John,1,5,10,wg,,,np,NpAdjp,o,,,,,72,wg,,,cl,O2CL,,VerbElided,,,,71,wg,,,,sub-CL,,,,,,70,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,common,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!11,",",adj,καινός,καινήν,2537,singular,feminine,accusative,new,028003,28.33,A-ASF,"καινὴν,",n63001005011,127113,w,καινὴν,II_John,24,2John,1,5,10,wg,,,np,NpAdjp,o,,,,,72,wg,,,cl,O2CL,,VerbElided,,,,71,wg,,,,sub-CL,,,,,,70,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,,sentence,,,,,,,,,4,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!12, ,conj,ἀλλά,ἀλλά,235,,,,but,089023,89.125,CONJ,ἀλλὰ,n63001005012,127114,w,ἀλλὰ,II_John,24,2John,1,5,7,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,sentence,,,,,,,,,4,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:5!13, ,pron,ὅς,ἥν,3739,singular,feminine,accusative,that which,,,R-ASF,ἣν,n63001005013,127115,w,ἣν,II_John,24,2John,1,5,8,wg,,,cl,O-V-ADV,,,,,,73,wg,group,,,notCLbutCL2CL,adv,,,,,69,wg,,,cl,V-IO-ADV,adv,,,,,68,wg,,,cl,,,,,,,66,wg,,,,Conj-CL,,,,,,65,wg,,,,,,,,,,64,,sentence,,,,,,,,,4,,book,,,,,,,,,,,relative,,,,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
